,x,y,u0,u1,p
0,2.2,2.2,1.0000055828904735,-2.4390110766901355e-10,-7.086645675280112e-13
1,2.2,2.2,1.0000057228281998,-2.0633859941693923e-10,-6.665406701031806e-13
2,2.148853538999398,2.148853538999398,1.0000056020575323,-6.04204829032325e-08,81.83415410215211
3,2.148948263473675,2.148948263473675,1.0000036326387325,-1.1723963037015066e-07,81.68259784832365
4,2.2,2.2,0.9999917790175473,-2.2121713957448885e-10,1.0869228912832693e-12
5,2.174426769499699,2.174426769499699,0.999991697673494,-2.972488925474492e-08,40.91707705107817
6,2.1744741317368375,2.1744741317368375,0.9999935562340171,-5.8210815919019136e-08,40.841298924163176
7,2.1489009012365363,2.1489009012365363,0.9999944612426911,-1.7772473550250212e-08,81.75837597523967
8,2.1744504506182682,2.1744504506182682,1.0000004745814999,-8.441258253823756e-09,40.87918798761882
9,2.097707077998795,2.097707077998795,1.0000045608238715,2.726641151626587e-08,163.6683616142644
10,2.0978965269473497,2.0978965269473497,1.0000045902105499,-6.806009345535263e-08,163.36523758678373
11,2.1232803084990968,2.1232803084990968,0.9999948785247484,-1.6571211112422932e-08,122.7512578582093
12,2.1234223952105125,2.1234223952105125,0.9999947041677517,-9.246588562490295e-08,122.52391771755583
13,2.0978018024730725,2.0978018024730725,0.9999938359140165,9.902708589308064e-08,163.51679960052599
14,2.123351351854805,2.123351351854805,1.0000003343550516,4.071783220502013e-08,122.63758778788113
15,2.2,2.2,1.0000036128734633,-1.3167695402909586e-10,-2.0841627997172956e-12
16,2.1490429879479525,2.1490429879479525,1.0000038832898004,-7.951265734965493e-08,81.53105947128665
17,2.2,2.2,0.9999945972942008,-1.6701968304902385e-10,1.0901390673641483e-12
18,2.1745214939739763,2.1745214939739763,0.9999933942680996,-3.949143402698632e-08,40.76552973564432
19,2.1489956257108136,2.1489956257108136,0.9999942066296341,-2.8799996925265905e-07,81.60682865980691
20,2.174497812855407,2.174497812855407,0.9999997423824136,-1.4366909975123167e-07,40.803414329902274
21,2.0465606169981925,2.0465606169981925,1.000006792143427,8.229066142823391e-08,245.50258070833266
22,2.0468426272715083,2.0468426272715083,1.0000050091124184,-8.741717046866904e-08,245.05135107317707
23,2.0721338474984936,2.0721338474984936,0.9999913746322026,5.5904650512583706e-08,204.585471161299
24,2.0467016221348504,2.0467016221348504,0.9999950201884974,2.0946558228537495e-07,245.27696589075674
25,2.072369577109429,2.072369577109429,0.9999943158403989,-7.623531745194873e-08,204.20829432998312
26,2.072251712303961,2.072251712303961,1.0000011077478084,1.5555671058104105e-07,204.3968827456397
27,2.0980859758959043,2.0980859758959043,1.0000011860463105,-1.096884333936679e-07,163.06213929230313
28,2.123564481921928,2.123564481921928,0.99999652022798,-9.411492495390365e-08,122.29659938179671
29,2.097991251421627,2.097991251421627,0.9999958464593496,-2.7604642387080274e-07,163.21368843954684
30,2.1234934385662205,2.1234934385662205,0.9999994574124754,-2.8169476724934327e-07,122.4102585496741
31,2.2,2.2,1.0000054798249118,-1.9368386873708824e-10,-7.182542041799721e-13
32,2.1491392192169476,2.1491392192169476,1.0000043511079995,-5.917183118359854e-08,81.37708150754514
33,2.174569609608474,2.174569609608474,0.9999931302207958,-2.9200678770619155e-08,40.68854075377334
34,2.2,2.2,0.9999922262567273,-1.6172005208815283e-10,1.7407365339694867e-12
35,2.14909110358245,2.14909110358245,0.9999939779268057,1.4238247842092667e-07,81.45407048941765
36,2.1745455517912253,2.1745455517912253,1.0000002872542724,7.151711479122093e-08,40.72703524470754
37,1.9954141559975898,1.9954141559975898,1.0000061719092057,-8.974176405100362e-09,327.33685047778744
38,1.9957887275956665,1.9957887275956665,1.0000012163112277,-1.009474843022448e-07,326.73753332826504
39,2.0209873864978913,2.0209873864978913,0.9999932527627914,3.6195110472372027e-08,286.4197155930625
40,1.9956014417966281,1.9956014417966281,0.9999968913424409,5.962373751302294e-08,327.03719190302763
41,2.0213156774335874,2.0213156774335874,0.9999982799097796,-9.551219901088708e-08,285.89444220072323
42,2.021151531965739,2.021151531965739,1.000000921446028,1.3364386368376982e-07,286.1570788968907
43,2.0471246375448238,2.0471246375448238,1.0000000026856373,-1.7236642528429716e-07,244.60016666586634
44,2.046983632408166,2.046983632408166,0.9999965880867675,-4.4815006191682344e-07,244.82575886952452
45,2.072605306720364,2.072605306720364,0.9999968687809431,-1.4019119950872777e-07,203.8311529790869
46,2.0724874419148964,2.0724874419148964,1.0000004232940183,-3.6093727082268583e-07,204.0197236545329
47,2.0982784384338955,2.0982784384338955,1.0000000819248305,-9.370685825904403e-08,162.75420046994518
48,2.123708828825422,2.123708828825422,0.9999968422929859,-7.61979181695548e-08,122.06564098874627
49,2.0981822071649,2.0981822071649,0.9999967358231172,1.3367181247649994e-08,162.908169881126
50,2.123636655373675,2.123636655373675,0.9999998821625493,7.823919162795368e-08,122.18112018526962
51,2.2,2.2,1.0000030689859147,-1.1593895717781046e-10,-7.123837524249036e-13
52,2.1492354504859437,2.1492354504859437,1.0000005267012577,-1.9351040030330816e-08,81.2231304597477
53,2.174617725242972,2.174617725242972,0.9999957997642902,-9.445598326449575e-09,40.611565229874614
54,2.2,2.2,0.9999956285502499,-1.513076894925797e-10,1.0287181417099416e-12
55,2.1491873348514456,2.1491873348514456,0.999998792399408,-2.755498930949792e-07,81.30010598364818
56,2.174593667425723,2.174593667425723,0.9999982380460045,-1.3747185802846747e-07,40.650052991822804
57,1.9442676949969875,1.9442676949969875,1.0000059141394084,5.348686829152054e-09,409.17113492486635
