,x,y,u0,u1
0,0.0,0.0,2.2777075453631037e-05,-5.625833350587296e-06
1,0.0,0.0,2.2777075453631037e-05,-5.625833350587296e-06
2,0.0,0.0,2.2777075453631037e-05,-5.625833350587296e-06
3,0.0,0.0,2.2777075453631037e-05,-5.625833350587296e-06
4,0.0,0.0,2.2777075453631037e-05,-5.625833350587296e-06
5,0.0,0.0,2.2777075453631037e-05,-5.625833350587296e-06
6,0.0,0.0,2.2777075453631037e-05,-5.625833350587296e-06
7,0.0,0.0,2.2777075453631037e-05,-5.625833350587296e-06
8,0.0,0.0,2.2777075453631037e-05,-5.625833350587296e-06
9,0.0,0.05125,0.6562508094351958,1.4122498392940304e-06
10,0.0,0.05125,0.6562508094351958,1.4122498392940304e-06
11,0.0,0.05125,0.6562508094351958,1.4122498392940304e-06
12,0.0,0.05125,0.6562508094351958,1.4122498392940304e-06
13,0.0,0.05125,0.6562508094351958,1.4122498392940304e-06
14,0.0,0.05125,0.6562508094351958,1.4122498392940304e-06
15,0.0,0.05125,0.6562508094351958,1.4122498392940304e-06
16,0.0,0.05125,0.6562508094351958,1.4122498392940304e-06
17,0.0,0.05125,0.6562508094351958,1.4122498392940304e-06
18,0.0,0.1025,1.1250017955806024,-1.0945967134667337e-06
19,0.0,0.1025,1.1250017955806024,-1.0945967134667337e-06
20,0.0,0.1025,1.1250017955806024,-1.0945967134667337e-06
21,0.0,0.1025,1.1250017955806024,-1.0945967134667337e-06
22,0.0,0.1025,1.1250017955806024,-1.0945967134667337e-06
23,0.0,0.1025,1.1250017955806024,-1.0945967134667337e-06
24,0.0,0.1025,1.1250017955806024,-1.0945967134667337e-06
25,0.0,0.1025,1.1250017955806024,-1.0945967134667337e-06
26,0.0,0.1025,1.1250017955806024,-1.0945967134667337e-06
27,0.0,0.15375,1.4062523000403369,5.321731573419363e-07
28,0.0,0.15375,1.4062523000403369,5.321731573419363e-07
29,0.0,0.15375,1.4062523000403369,5.321731573419363e-07
30,0.0,0.15375,1.4062523000403369,5.321731573419363e-07
31,0.0,0.15375,1.4062523000403369,5.321731573419363e-07
32,0.0,0.15375,1.4062523000403369,5.321731573419363e-07
33,0.0,0.15375,1.4062523000403369,5.321731573419363e-07
34,0.0,0.15375,1.4062523000403369,5.321731573419363e-07
35,0.0,0.15375,1.4062523000403369,5.321731573419363e-07
36,0.0,0.205,1.5000019834399527,5.501969767437582e-07
37,0.0,0.205,1.5000019834399527,5.501969767437582e-07
38,0.0,0.205,1.5000019834399527,5.501969767437582e-07
39,0.0,0.205,1.5000019834399527,5.501969767437582e-07
40,0.0,0.205,1.5000019834399527,5.501969767437582e-07
41,0.0,0.205,1.5000019834399527,5.501969767437582e-07
42,0.0,0.205,1.5000019834399527,5.501969767437582e-07
43,0.0,0.205,1.5000019834399527,5.501969767437582e-07
44,0.0,0.205,1.5000019834399527,5.501969767437582e-07
45,0.0,0.25625,1.406248629848749,-3.9127792874910873e-07
46,0.0,0.25625,1.406248629848749,-3.9127792874910873e-07
47,0.0,0.25625,1.406248629848749,-3.9127792874910873e-07
48,0.0,0.25625,1.406248629848749,-3.9127792874910873e-07
49,0.0,0.25625,1.406248629848749,-3.9127792874910873e-07
50,0.0,0.25625,1.406248629848749,-3.9127792874910873e-07
51,0.0,0.25625,1.406248629848749,-3.9127792874910873e-07
52,0.0,0.25625,1.406248629848749,-3.9127792874910873e-07
53,0.0,0.25625,1.406248629848749,-3.9127792874910873e-07
54,0.0,0.3075,1.1249981615516909,-1.5545244011857804e-06
55,0.0,0.3075,1.1249981615516909,-1.5545244011857804e-06
56,0.0,0.3075,1.1249981615516909,-1.5545244011857804e-06
57,0.0,0.3075,1.1249981615516909,-1.5545244011857804e-06
58,0.0,0.3075,1.1249981615516909,-1.5545244011857804e-06
59,0.0,0.3075,1.1249981615516909,-1.5545244011857804e-06
60,0.0,0.3075,1.1249981615516909,-1.5545244011857804e-06
61,0.0,0.3075,1.1249981615516909,-1.5545244011857804e-06
62,0.0,0.3075,1.1249981615516909,-1.5545244011857804e-06
63,0.0,0.35874999999999996,0.6562495178089166,-7.381635708412696e-07
64,0.0,0.35874999999999996,0.6562495178089166,-7.381635708412696e-07
65,0.0,0.35874999999999996,0.6562495178089166,-7.381635708412696e-07
66,0.0,0.35874999999999996,0.6562495178089166,-7.381635708412696e-07
67,0.0,0.35874999999999996,0.6562495178089166,-7.381635708412696e-07
68,0.0,0.35874999999999996,0.6562495178089166,-7.381635708412696e-07
69,0.0,0.35874999999999996,0.6562495178089166,-7.381635708412696e-07
70,0.0,0.35874999999999996,0.6562495178089166,-7.381635708412696e-07
71,0.0,0.35874999999999996,0.6562495178089166,-7.381635708412696e-07
72,0.0,0.41,1.8993651485319938e-05,3.542475024205877e-06
73,0.0,0.41,1.8993651485319938e-05,3.542475024205877e-06
74,0.0,0.41,1.8993651485319938e-05,3.542475024205877e-06
75,0.0,0.41,1.8993651485319938e-05,3.542475024205877e-06
76,0.0,0.41,1.8993651485319938e-05,3.542475024205877e-06
77,0.0,0.41,1.8993651485319938e-05,3.542475024205877e-06
78,0.0,0.41,1.8993651485319938e-05,3.542475024205877e-06
79,0.0,0.41,1.8993651485319938e-05,3.542475024205877e-06
80,0.0,0.41,1.8993651485319938e-05,3.542475024205877e-06
81,0.35,0.2,1.3848832435382048e-05,-1.1542541378859762e-06
82,0.34996954135095476,0.20174497483512505,3.220212550087795e-06,-5.663630930382121e-06
83,0.3498782025129912,0.20348782368720628,-4.1735745392484824e-06,-3.8782664828542666e-06
