,t,x,y,u0,u1
0,0,0.35,0.2,0.23796253442161322,0.011970405063556636
1,0,0.3,0.25,2.07678331429261,-0.12928465269084885
2,0,0.3,0.15000000000000002,2.069813573884373,0.1613416611897839
3,0,0.25,0.2,0.21947046307944879,-0.008883748017150405
4,1,0.35,0.2,-0.032203288211424874,0.0017398263356943142
5,1,0.3,0.25,0.4371926934682351,-0.12438140224945392
6,1,0.3,0.15000000000000002,0.48809664815665427,0.15460402904325682
7,1,0.25,0.2,-0.033877029624490004,0.0009551869505931306
8,2,0.35,0.2,-0.004372919570546535,-0.00036812220277047475
9,2,0.3,0.25,0.22275851142589975,-0.2061114123725917
10,2,0.3,0.15000000000000002,0.26123813893755093,0.2320767844088613
11,2,0.25,0.2,-0.003641039285285445,0.00056790067641272
12,3,0.35,0.2,-0.0007533669485685728,-0.000540063630474479
13,3,0.3,0.25,0.14289760394647769,-0.241434358707205
14,3,0.3,0.15000000000000002,0.1739606916122084,0.2665012036180836
15,3,0.25,0.2,-0.0004990997067516021,0.0004760524705281914
16,4,0.35,0.2,-0.0002511449382528652,-0.00043815213046131366
17,4,0.3,0.25,0.09817222642158914,-0.24611560544955222
18,4,0.3,0.15000000000000002,0.12408470431942445,0.270561745400191
19,4,0.25,0.2,-0.00015264862733574937,0.0003789014472530375
20,5,0.35,0.2,-0.00014818177571932953,-0.0003389384646500079
21,5,0.3,0.25,0.07003078244240013,-0.23454148837412217
22,5,0.3,0.15000000000000002,0.09193173908036556,0.25814069482706126
23,5,0.25,0.2,-9.593296981937891e-05,0.00030010469704551927
24,6,0.35,0.2,-0.00010924964382580225,-0.0002684841767513787
25,6,0.3,0.25,0.051445455204495616,-0.21539381633323648
26,6,0.3,0.15000000000000002,0.0701063900633429,0.23790674271033677
27,6,0.25,0.2,-7.438850475452315e-05,0.00024215487736270922
28,7,0.35,0.2,-8.557415594870514e-05,-0.00021915811346332666
29,7,0.3,0.25,0.03878435656574603,-0.19354223643475746
30,7,0.3,0.15000000000000002,0.05478663421948065,0.2147948411803806
31,7,0.25,0.2,-5.89277803758638e-05,0.00019959176901636526
32,8,0.35,0.2,-6.832351895254568e-05,-0.0001831697199966122
33,8,0.3,0.25,0.029927408868437564,-0.17158878562401253
34,8,0.3,0.15000000000000002,0.04372243836860932,0.1914754322680535
35,8,0.25,0.2,-4.635759497952138e-05,0.0001675115648262899
36,9,0.35,0.2,-5.499445548551125e-05,-0.00015565513758610043
37,9,0.3,0.25,0.02357261330143796,-0.1508391476229705
38,9,0.3,0.15000000000000002,0.03551574254501049,0.1693116171367774
39,9,0.25,0.2,-3.615847289133586e-05,0.0001425740600132431
40,10,0.35,0.2,-4.4391344693620796e-05,-0.000133779945401842
41,10,0.3,0.25,0.018899272076386687,-0.1318754352550498
42,10,0.3,0.15000000000000002,0.02927384695326121,0.14893008543336542
43,10,0.25,0.2,-2.792122684367706e-05,0.0001226226457161436
44,11,0.35,0.2,-3.577644093080901e-05,-0.00011586502461624721
45,11,0.3,0.25,0.015380507431173382,-0.11488563982218551
46,11,0.3,0.15000000000000002,0.0244156602462338,0.13055165082791953
47,11,0.25,0.2,-2.1238529437401745e-05,0.00010626698129924709
48,12,0.35,0.2,-2.8658221223975037e-05,-0.00010087324307435747
49,12,0.3,0.25,0.012672399341602875,-0.09985065403674727
50,12,0.3,0.15000000000000002,0.020556107334856598,0.11418016418322259
51,12,0.25,0.2,-1.57649994700166e-05,9.259626948876082e-05
52,13,0.35,0.2,-2.2698645918770908e-05,-8.813259126017186e-05
53,13,0.3,0.25,0.010546589658815782,-0.08664928068329339
